,Unnamed: 0,video_id,comment,pol_textblob,pol_nlpWarriers,pol_human
98068,98068,iL_-GwbEP4g,No imascuyllation no castration this is deep. Never get institutionalised by work. We work to live not live to work.,4,0,0
106453,106453,UO0hIASuAqY,I bet trump happy about this,4,0,0
63194,63194,RsCsBqIlnHw,Pallette need more tenacious teal,4,0,0
121865,121865,FBdyMBRcxeo,Idk I feel like it needs to be bagel dough,2,0,0
227798,227798,aw28GKtWxBw,Wait!!! I can get $100 for uploading a video to draftking of me eating a 14in pizza? Nigga sign me up please,2,0,2
142939,142939,dt__kig8PVU,Its like a weird Japanese sequel to Fantastic Mr. Fox,0,4,4
117808,117808,4gKhm09PKPQ,Looks like we had a falling out with the fallout,2,0,0
105473,105473,0ptNpGfMRCg,SOMEONE STOLE YOUR VIDEO!! PLEASE ADD SOME SORT OF WATERMARK FOR YOUR VIDEOS �� �� �� ��https://www.youtube.com/watch?v=aWr6EjmXc0k,2,4,0
76342,76342,uWFAD84I66I,The you're not a doctor part made me bust up laughing_���_���_���_���,2,4,4
151275,151275,ZcTvrxwP6Is,Come on guys. Give me $15 bucks and 2 days in After Effects and I could do the same thing. \n#KeepTOSCannon,2,0,0
25880,25880,zcqZHYo7ONs,am i the only one who feels like this makes perfect sense? i mean i couldnt tell you the math part but i really dont see the paradox,4,0,4
11854,11854,sjlHnJvXdQs,"That moment when James Gunn liked your video, congrats Jack!",4,0,4
31462,31462,dtqlSPt4z20,And my Bucs had to sit and watch everyone else have fun because of that damn Irma.,4,0,4
116344,116344,ofz2cHLkiRI,Green bubbles seem to angry you a lot LoL.,4,0,0
158503,158503,Koxzz7LDmEE,Is that even street legal LOL,4,0,0
91811,91811,xsWO0dRf1p0,Ehen will the shop with mes be coming?,2,0,2
28317,28317,nImFZRtGeAQ,I have a 6s plus thinking about upgrading to the 8 or the 7 plus what do you guys think I should do _�_�,2,0,2
69137,69137,ZCQuasiJgYM,That camerafocus is to long to take a fast picture the waiting on the focus is killing the moment ..,4,0,0
183151,183151,gGILiLTenR8,Me: I�۪m gonna go on a diet\nAlso me: living this video 5 minutes later,2,0,2
165247,165247,rRi8LptvFZY,"Hook and loop? Nah, velcro.",2,0,0
90763,90763,XSLc0d5aM04,Don't want to wear yeezy ever again,2,0,0
78186,78186,CYoRmfI0LUc,Stock!!!\nStereograms of Wealth. \nMatrix of Wealth. \nhttps://www.etsy.com/shop/MagicWorldMira\nBuy One Stereogram.\nGet 3 Stereograms in Gift.\nStereograms to order.\nPersonalized stereograms.,2,0,2
22114,22114,REyxoxScrbU,she looks like Drake LUL_���,2,0,2
162406,162406,WRzqSDyOSbY,Hi Madelaine! Ilysm can you do more videos I can't only have just one a week!,4,0,4
111697,111697,bvuQ0ZusV8Q,Fairy floss is just the Australian name for cotton candy,2,0,2
17792,17792,O4pFdLJmG7M,That looks like it hurts,2,0,2
108398,108398,#NAME?,Put that in your wifes douche.,2,0,2
196495,196495,8QKP7LXWlHk,Liking this video just for the 'Simon is too big...Simon is too hot...Simon is too whiny segment _���_���_���,2,0,0
57862,57862,nRGz2md8l28,WHERS THE LAM CHOPS????,2,0,0
129619,129619,3fILUAGw2mE,*Does anime episode\n*mispronounces Hiroshima,2,0,2
93435,93435,pV_5gjQ7lhk,You need to travel the world and do this.,2,0,4
29166,29166,MdBu21i9aEE,"This makes all you cry?..... you guys are PUSSY'S, how the fuck did I get here?, if you played this in ''the hood, you more than likely gonna catch some lead",4,0,0
118129,118129,OMGO51u4ou4,i wonder how many innocent Palestinians wonder woman has killed,4,0,2
43508,43508,bAMinWdgUCg,This needs to be viral,2,0,0
142693,142693,o5xxIciBSME,Must Watch This Video By ColdFusuin\nHow Big Is Samsung\nhttps://youtu.be/6Afpey7Eldo,2,0,2
981,981,vu_9muoxT50,Oh my HELLLLL!!!,2,0,0
107304,107304,_MEFyG-IE_I,"say what you want about the original tomb raider movies but they were fun guilty pleasures. angelina jolie is lara croft to me. not this actress. she had the wit, charisma, charm of lara. alicia doesn't do it for me.",4,0,0
184593,184593,tSLjM6cZaTo,I stopped eating last year BUT I'm eating again but a while ago my friend was like u have anorexia because I'm so obsessed with my weight and if I look in the mirror and see if I but in weight I'll have to exercise what does this meann,0,4,0
152314,152314,RtEvTmhVeQQ,i could feel this in my ears. like the pressure in my ears was changing as her pitch went up,2,0,0
8279,8279,xtDJ6uEyvnw,He thought governor was talking about an ex wife.,2,0,0
113146,113146,TImAMCQbwJo,"Guys, I've been waiting for this since the last 2 years and finally it's coming out!! YES",2,0,4
138168,138168,ddJ7HLIfJdk,At 1:36 they put tuesday tueday,2,0,0
14931,14931,F1DxLQbx_bU,I didnt know a cooking video could be so lit,2,0,0
44898,44898,tSwWCJHHTGc,"i came here, but then realised its SciShow Talk Show, which i dont like, but i gave a like anyways ���",4,0,0
173297,173297,FNh2ZsQkNus,Aaaaah this makes me upset that netflix removed the princess bride,2,0,0
70659,70659,klSWPvDCYoI,Dimmy Fallato,2,0,2
15648,15648,JZDM1bLn7sM,Can anyone tell me what the intro song is called? Thank youuuuuu :),4,0,4
103380,103380,LBLGo2y_BBU,HOOOOLOOOLUJAAA,2,0,4
122573,122573,0ptNpGfMRCg,A boot,2,0,2
109387,109387,cvaVRlWltD4,Wy do we never sea youre son?????��_���_��_���,2,0,0
74148,74148,MXtDj0eGhtw,200,2,0,2
78602,78602,Wb-6fhfAn2I,"Sounds like pseudoscience to me. Expected better, very disappoint, much sad",4,0,0
119197,119197,ccLXx4DB8ZQ,Thankfully the makers of this video won't be having kids.,2,4,4
80201,80201,xPS7bqBePSs,i honestly i am pissed as f how she's not gotten enough attention. Lean's voice is just so relaxing literary like a mother singing a lullaby . . .,4,0,0
86192,86192,DBBt7IhHOFQ,"Man that made me nervous when you were pulling out that crucible, I thought you were going to dump that molten iron on yourself",2,4,2
174863,174863,H1YGg8nYkv0,Can't she just comply,2,0,0
210026,210026,HUUsEgAe8x4,I went to the aquarium on kemah today :),4,0,4
149106,149106,L3O6LocRoTo,I agree with roth watchmen is not a famous story with the general public,0,4,0
119387,119387,735_W3zsIw4,Casey Neistat doesn't need any ideas like this.,2,0,0
42435,42435,A0lYm7Qsbak,I hope i get the phone eventho im broke,2,0,0
204045,204045,yAZwhN-WKGg,oh boy another shining example of the n.b.a.,2,0,0
182696,182696,YMLLK844QII,12:04 do you really .. rubber glove .. aint touchin that,4,0,0
133420,133420,hbfxFdl8B8M,Are you threatening me ?,2,0,0
71689,71689,8bSCIUAeLis,*F U T U R E*,2,0,2
151685,151685,jY9xBAAa5fs,I'm a musician,2,0,2
27810,27810,CYoRmfI0LUc,very sweet congratulations,4,0,4
108110,108110,Tm8LGxTLtQk,Chester...thank you for making my childhood awesome. RIP Legend,4,0,4
206101,206101,c0FjpqLfGN8,Why in the hell would you put a condensing unit above the front door of your establishment? It's called a Condensing Unit for a reason....it produces water from the heat and humidity in the air! OMG!!! Spoiled city slickers!,2,0,0
149905,149905,wiBhzhQu_2c,Which of the two CT contour shades do you wear? Thank you xo,2,0,4
114596,114596,dYstFRuPz8A,yeahh that reminds me to dr house xD,2,4,4
76265,76265,bvim4rsNHkQ,"Elon I heard you did most of the editing yourself. Nothing better than to laugh at one's mistakes. Means you overcame them and will remmember them in order not to repeat history. Personally, I feel a bit sorry for those battered and bruised drone ships! :)",4,0,0
207628,207628,pxVO5K8jmdA,"Oh��god��.��Les��twins��please��come��delhi��in��India��.��I��request��you��pleaseeeeeeeeeeee��comeeeeeeee��.��Lestwins��can��you��call��me��please,��please,��please",2,4,4
201502,201502,zV0dpCG-8go,"You can prepare a simple or complex tax free, there are many providers listed on the IRS website. People pay for convenience and assurance, also depending on the value of ones time.",4,0,2
53159,53159,TdH_NL35Nbw,Cant wait _���,2,0,4
53645,53645,z5eG8fD-hQw,Donald Trump is NOT  a white supremacist. EOD . The same people that call Trump racist follow and adhere to Louis Farrakhan . Who is also a bigot and anti Semite himself . Hypocrisy at its finest,2,0,0
92812,92812,8ndhidEmUbI,looks nice. just dont like the sfx when far away from the planescene in the ending. it looks too obviously greenscreened? just me? no? :x,4,0,4
86514,86514,5CHJbMnLPKw,Trump 2020!,2,0,2
78562,78562,fS5xHHqW-6E,Johnny sins is that you!!??,2,0,2
139131,139131,S_9OSktlm6s,This new season of Teen Wolf is lit_�Ӵ_�Ӵ_�Ӵ,4,0,4
126905,126905,Z-LmHjkN2EU,"Omg, I hope all those people are ok",4,0,0
24734,24734,QQVWMp_xgGg,This guy may be the greatest troll in troll history _���_���_���,4,0,4
176046,176046,OLTXWUWcwOo,He's awesome,4,0,4
25558,25558,iIYXR4axaJY,"You go, Gabbie! Just one thing though... is it appropriate to be having a tour in states that have been affected by the hurricanes? Some of your fans might not be able to purchase a ticket/attend due to the destruction caused by the hurricanes.",4,0,4
94470,94470,Lv3Uy2rjgCE,Another fun fact about libraries: In Australia they have toy libraries where a small fee can be paid and parents can check out toys to avoid clutter in their homes. Also another fact: Some libraries in the U.S. have different baking pans you can check out. And just for fun my favorite book is The Book Thief by Markus Zusak (not to mention he's a super nice guy),4,0,2
144698,144698,ccLXx4DB8ZQ,If this is supposed to be solace for people who don't want to have kids then don't frickin title it in a way that's aimed at more than just those people.,4,0,2
66475,66475,XpVt6Z1Gjjo,Parking with Evan with these dickheads,2,0,0
5738,5738,0Yhaei1S5oQ,"Hmm, this made sense of the Bush song Disease of the dancing cats.",2,0,0
144086,144086,uA4STm4hx7Q,Omg this is sooo goood!!!,2,0,4
81653,81653,fUffrvUjwCY,comee too chileeee i wait for you since 2012 _��__���,2,0,4
35454,35454,rCo4gIZu0DY,I have laughed so much _���_���_���,4,0,4
212790,212790,2nFO0sMs9Zs,I caught a glimpse of his Arabic tattoo at last ��� ���_���� it means Be Kind,4,0,0
51844,51844,4X6a3G_0HjY,I think most of the comments here are about males hating females. The Trump and Sanders effect. Trolls.,4,0,0
140887,140887,eKjiJYkvKwQ,UMMMM I think you mean ENZO AMORE most talkative_�_�_��≝_,4,0,0
85846,85846,LTsSGSi9mqo,I watched the bird the whole vid,4,0,2
111903,111903,cHbkEESIl7g,"0:50\n\nDamn, I really thought that was Maisie this whole time. I never thought that was CGI. I kinda thought Maisie trained for that.\n\nI already thought she got up that way instead of the way we normally see where the body is more symmetrical because it would be easier for Maisie.",4,0,0
16722,16722,yiblDn4JGfQ,can you please make a video about concert photography?,2,0,2
120756,120756,vo391vKvD4s,Tina why don�۪t you produce your own mask because every time I want to buy a mask I�۪m always check your  video first. And yes I have never disappointed because of ur recommendation,4,0,4
221800,221800,K7pQsR8WFSo,This is so cool!,4,0,4
